SKU,URLIMG,POS
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_6.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_8.jpg,8
BANS62166,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_1.jpg,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_6.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_7.jpg,8
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_8.jpg,9
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_9.jpg,10
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62166_10.jpg,11
BANS62072,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_0.png,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_1.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_2.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_3.png,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_4.png,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_5.png,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62072_6.png,7
BANS61801,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans61801_6.jpg,7
BANN15630,https://cdn.shopify.com/s/files/1/1039/4986/products/bann15630_0.jpg,1
